Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
53378,53378,294.85534087258,27.61470283721,2025189543848491392,1.385,5.137,-0.363,-5.124,11.972716,0.002764,12.244254,0.002849,11.540766,0.003799,11.342464,0.026867,0.703488,0.271538,0.431951,,7851.6,679.6591,1.9188,13.677069,1.798,0.874,0.48867357,A      
92830,92830,115.97898329037,-1.11171208768,3085213551482506496,0.4404,4.811,-1.853,4.44,13.774888,0.002774,13.975648,0.002884,13.440616,0.003826,13.285464,0.057543,0.535032,0.20076,0.334272,,7343.8,1618.969,1.7623,13.38241,1.754,1.189,0.48797855,A      
88158,88158,109.53527883048,-8.99940396308,3048456740330200320,0.4145,4.872,-4.311,2.271,13.930635,0.002767,14.238226,0.002894,13.452146,0.003865,13.12315,0.138685,0.78608,0.30759,0.47849,,9361.0,1807.6611,2.0066,43.695335,2.372,0.439,0.762427,A      
121972,21972,69.50036347892,45.43675499622,253903386913187584,0.1938,0.805,0.425,-0.684,16.420372,0.002802,17.018105,0.005625,15.65407,0.004545,,,1.364035,0.597733,0.766302,,9874.7,3647.4797,2.1348,41.123905,2.394,0.323,0.49780422,B      
171194,71194,30.56557974146,65.33898730333,518175679580844672,0.0132,0.382,-0.31,0.223,16.536423,0.002902,16.973524,0.004501,15.737963,0.004313,,,1.235561,0.437101,0.79846,,9624.8,2636.9119,1.3549,,,,,B      
11210,11210,36.59886021865,43.22830930602,339676009819792000,1.3698,10.118,7.967,-6.237,11.680381,0.002816,11.833877,0.003017,11.404508,0.003875,11.265075,0.021628,0.429369,0.153496,0.275873,,7727.5,707.4471,1.8004,10.320232,1.698,0.845,0.5255341,A      
177911,77911,66.64348834492,77.92747705771,551676527559983232,0.4459,1.622,-1.126,1.167,16.799322,0.002861,16.74641,0.005472,16.81294,0.007654,,,-0.06653,-0.052912,-0.013618,,15663.8,12300.868,1.4007,112.3682,,,1.3444108,B      
116091,16091,75.59679732057,46.15763122632,206729145462302336,0.2127,0.824,0.28,-0.775,12.73491,0.002768,12.903791,0.00303,12.42717,0.003811,,,0.476622,0.168881,0.30774,,14233.7,3675.726,4.44,1127.2979,5.218,,0.48488152,B      
73403,73403,339.79037035598,71.43727168376,2229876174601423744,1.0932,4.465,-3.535,-2.726,12.366395,0.002762,12.581265,0.002858,11.994465,0.003815,11.827141,0.024832,0.5868,0.21487,0.37193,,9326.4,1001.8221,1.9902,22.346317,2.098,0.298,0.6038188,A      
84041,84041,117.33120441408,-14.11490143287,3029501847059748096,1.2689,4.216,-3.711,2.002,11.050522,0.002774,11.095956,0.002824,10.953936,0.003807,10.9015,0.007182,0.14202,0.045434,0.096586,,9140.1,981.6533,2.468,24.134258,2.11,0.398,0.53733015,A      
